frame_num,nose,left_eye,right_eye,right_shoulder,left_shoulder,left_elbow,right_elbow,right_wrist,left_wrist,left_hip,right_hip,left_knee,right_knee
237.0,"(0.4811660051345825, 0.46740642189979553, 0.1937735676765442)","(0.4797400236129761, 0.4587707221508026, 0.18354782462120056)","(0.4835696816444397, 0.4597766101360321, 0.1784096658229828)","(0.49485132098197937, 0.5174779891967773, 0.04023972526192665)","(0.45391079783439636, 0.5051552057266235, 0.13924089074134827)","(0.44555675983428955, 0.56429523229599, 0.2032022923231125)","(0.4980928599834442, 0.5771832466125488, 0.012902291491627693)","(0.5176994800567627, 0.5988199710845947, 0.0003326692385599017)","(0.4419061541557312, 0.5626117587089539, 0.27575114369392395)","(0.4562678039073944, 0.6277588605880737, 0.040126875042915344)","(0.4831005334854126, 0.6310123801231384, -0.040201086550951004)","(0.46118655800819397, 0.7166608572006226, 0.019036810845136642)","(0.49345770478248596, 0.7189167141914368, -0.025624243542551994)"
238.0,"(0.48683133721351624, 0.4667978584766388, 0.16717210412025452)","(0.48554322123527527, 0.45862963795661926, 0.15550823509693146)","(0.4893471598625183, 0.4589999318122864, 0.1506889909505844)","(0.4992469251155853, 0.5168110728263855, 0.0211312435567379)","(0.4574187397956848, 0.504987359046936, 0.11280213296413422)","(0.45088881254196167, 0.5694171190261841, 0.16808992624282837)","(0.5030840039253235, 0.5778077244758606, 0.017680875957012177)","(0.5214008688926697, 0.5991690158843994, 0.04786314442753792)","(0.44966796040534973, 0.5756510496139526, 0.2489132434129715)","(0.4599413275718689, 0.6257309317588806, 0.03844892233610153)","(0.486877977848053, 0.6293541193008423, -0.03857117518782616)","(0.4647105932235718, 0.7149477601051331, 0.03445546329021454)","(0.5007871985435486, 0.7157496809959412, -0.010797933675348759)"
239.0,"(0.48835742473602295, 0.46887990832328796, 0.17779487371444702)","(0.4868307113647461, 0.45990288257598877, 0.1648942530155182)","(0.49083125591278076, 0.46138060092926025, 0.16150733828544617)","(0.5020349621772766, 0.517617404460907, 0.031697262078523636)","(0.4619981050491333, 0.5076354146003723, 0.10394086688756943)","(0.44952693581581116, 0.5739325284957886, 0.16034525632858276)","(0.5088953375816345, 0.5825903415679932, 0.03879928216338158)","(0.5246061682701111, 0.6041437983512878, 0.08590798825025558)","(0.4506123661994934, 0.5774903297424316, 0.24127501249313354)","(0.46724310517311096, 0.6264549493789673, 0.030200812965631485)","(0.494232177734375, 0.6325374841690063, -0.03024822473526001)","(0.4663463234901428, 0.7167196273803711, 0.028457796201109886)","(0.5086249709129333, 0.715586245059967, 0.007058017421513796)"
240.0,"(0.48753708600997925, 0.47594761848449707, 0.1902274340391159)","(0.48574134707450867, 0.4680010676383972, 0.17730022966861725)","(0.4897913932800293, 0.46771132946014404, 0.17566056549549103)","(0.5037987232208252, 0.5264760255813599, 0.05054522305727005)","(0.46125537157058716, 0.5173909068107605, 0.11136048287153244)","(0.4467613101005554, 0.5677537322044373, 0.16323937475681305)","(0.5109757781028748, 0.5932458639144897, 0.0699608251452446)","(0.523699939250946, 0.6077081561088562, 0.13476333022117615)","(0.4411226809024811, 0.5553248524665833, 0.23959322273731232)","(0.4671529233455658, 0.642546534538269, 0.02974546141922474)","(0.4946134388446808, 0.6425803899765015, -0.029845260083675385)","(0.4657011926174164, 0.7287423610687256, 0.02767191454768181)","(0.5147917866706848, 0.7187960743904114, -0.0004975645570084453)"
241.0,"(0.48966583609580994, 0.48836952447891235, 0.17470751702785492)","(0.4875589907169342, 0.48124343156814575, 0.1615018993616104)","(0.4920569956302643, 0.48125287890434265, 0.15922003984451294)","(0.5046918392181396, 0.5401840806007385, 0.04127555713057518)","(0.4620205760002136, 0.5291514992713928, 0.08080676943063736)","(0.4466325044631958, 0.5748443007469177, 0.1173943504691124)","(0.510576605796814, 0.6093553900718689, 0.043911177664995193)","(0.5232822299003601, 0.6215654015541077, 0.06995347142219543)","(0.4343080222606659, 0.5423522591590881, 0.18271313607692719)","(0.46886157989501953, 0.6569390296936035, 0.01914721541106701)","(0.4948749244213104, 0.6565420031547546, -0.019283805042505264)","(0.4627050757408142, 0.7414672374725342, 0.008877336047589779)","(0.5211114287376404, 0.727630078792572, 0.018622543662786484)"
242.0,"(0.49206480383872986, 0.5003032088279724, 0.18077535927295685)","(0.4899260103702545, 0.4934220612049103, 0.16457663476467133)","(0.49443596601486206, 0.4937822222709656, 0.1642431765794754)","(0.5070008039474487, 0.5520941615104675, 0.04602694883942604)","(0.4651746451854706, 0.5392491221427917, 0.07647104561328888)","(0.44762954115867615, 0.587329626083374, 0.11896535754203796)","(0.5097416639328003, 0.6245816349983215, 0.054971083998680115)","(0.5251239538192749, 0.6350433826446533, 0.08723246306180954)","(0.43287718296051025, 0.5431930422782898, 0.18919430673122406)","(0.46850499510765076, 0.6702006459236145, 0.013244030065834522)","(0.4957466125488281, 0.671301007270813, -0.013337223790585995)","(0.4603210687637329, 0.7514298558235168, 0.0027186451479792595)","(0.5248374342918396, 0.7386133074760437, 0.04032908007502556)"
243.0,"(0.4965275824069977, 0.5118592977523804, 0.17479760944843292)","(0.4942946135997772, 0.5046585202217102, 0.15560345351696014)","(0.4982732832431793, 0.5054841637611389, 0.15772071480751038)","(0.5084017515182495, 0.5622431039810181, 0.03704611584544182)","(0.4673459231853485, 0.5466540455818176, 0.07608859986066818)","(0.4619651734828949, 0.6003039479255676, 0.1269729882478714)","(0.5095927715301514, 0.6366187930107117, 0.04156727343797684)","(0.5268094539642334, 0.6482330560684204, 0.03110700473189354)","(0.45149558782577515, 0.5836997628211975, 0.20095586776733398)","(0.4707179367542267, 0.6790644526481628, 0.012810551561415195)","(0.4980616867542267, 0.6819348931312561, -0.012860828079283237)","(0.45963969826698303, 0.7590985298156738, -0.0029830969870090485)","(0.5261757969856262, 0.7546743154525757, 0.05607576668262482)"
244.0,"(0.49780479073524475, 0.5180280208587646, 0.1506352722644806)","(0.4958125054836273, 0.5110662579536438, 0.1349589079618454)","(0.49995800852775574, 0.5121057629585266, 0.13353925943374634)","(0.5107682347297668, 0.5704912543296814, 0.01787051372230053)","(0.4686073064804077, 0.5558596253395081, 0.06585711985826492)","(0.4599478542804718, 0.6194981336593628, 0.11916135996580124)","(0.5105227828025818, 0.6431710720062256, -0.018923433497548103)","(0.527841329574585, 0.6557426452636719, -0.05467471107840538)","(0.46355140209198, 0.6227978467941284, 0.18814824521541595)","(0.47238489985466003, 0.6954704523086548, 0.016518322750926018)","(0.5006764531135559, 0.6959691643714905, -0.01657712087035179)","(0.45994651317596436, 0.7725222706794739, 0.013497769832611084)","(0.5297471284866333, 0.7642773389816284, 0.05792231857776642)"
245.0,"(0.5002567172050476, 0.5209887623786926, 0.1652536690235138)","(0.49810904264450073, 0.5139545798301697, 0.14896079897880554)","(0.5024536848068237, 0.5154783725738525, 0.1469232141971588)","(0.5133491158485413, 0.573605477809906, 0.019898824393749237)","(0.4696979820728302, 0.560153067111969, 0.07422850281000137)","(0.4585498571395874, 0.6215986609458923, 0.1336454451084137)","(0.5132589340209961, 0.6465988755226135, 0.00552263343706727)","(0.5300204753875732, 0.65961754322052, 0.023696105927228928)","(0.4603763818740845, 0.6157119274139404, 0.21871976554393768)","(0.4759581685066223, 0.6981167793273926, 0.018467972055077553)","(0.5039406418800354, 0.6986598372459412, -0.01849512942135334)","(0.46309390664100647, 0.7804150581359863, 0.012627138756215572)","(0.5321692228317261, 0.7668509483337402, 0.03612440451979637)"
246.0,"(0.5031055808067322, 0.5232365727424622, 0.2201256901025772)","(0.5008144378662109, 0.5159546732902527, 0.20545585453510284)","(0.5050511360168457, 0.5170807838439941, 0.2024722844362259)","(0.515880286693573, 0.575989842414856, 0.05351605266332626)","(0.47171005606651306, 0.5624098777770996, 0.11831147223711014)","(0.4537440538406372, 0.6192346215248108, 0.18569684028625488)","(0.516761302947998, 0.6497997045516968, 0.07281231880187988)","(0.5335721969604492, 0.6628327965736389, 0.13293765485286713)","(0.4596748352050781, 0.5980958342552185, 0.2834758460521698)","(0.47865328192710876, 0.6988853812217712, 0.026097487658262253)","(0.5060194134712219, 0.6995747685432434, -0.026180176064372063)","(0.4686402380466461, 0.7848894596099854, 0.012620583176612854)","(0.5328101515769958, 0.7706491947174072, 0.011115978471934795)"
247.0,"(0.5071458220481873, 0.5240890383720398, 0.23222194612026215)","(0.5046292543411255, 0.516430675983429, 0.2191716581583023)","(0.50882887840271, 0.5175819396972656, 0.21413497626781464)","(0.5185694694519043, 0.5754358768463135, 0.05850427970290184)","(0.47267958521842957, 0.5644165277481079, 0.1367007941007614)","(0.4553705155849457, 0.6284324526786804, 0.20326237380504608)","(0.5201133489608765, 0.6521009802818298, 0.08317761868238449)","(0.53652423620224, 0.6631658673286438, 0.15297913551330566)","(0.45523837208747864, 0.6197547316551208, 0.29571494460105896)","(0.4802151322364807, 0.7001030445098877, 0.03286459669470787)","(0.507111668586731, 0.7004895210266113, -0.03291575238108635)","(0.4734302759170532, 0.7893446087837219, 0.0217062346637249)","(0.5307857990264893, 0.774799644947052, 0.005077596288174391)"
248.0,"(0.5077863335609436, 0.5239641666412354, 0.17488305270671844)","(0.5052526593208313, 0.5156368613243103, 0.16374768316745758)","(0.5097259283065796, 0.5169230103492737, 0.15564116835594177)","(0.5193489193916321, 0.576224148273468, 0.005215328652411699)","(0.472633421421051, 0.5676181316375732, 0.1115008145570755)","(0.45947301387786865, 0.6371739506721497, 0.18900181353092194)","(0.5234994888305664, 0.6542494893074036, 0.06159711256623268)","(0.5368697643280029, 0.6632616519927979, 0.12738314270973206)","(0.47834497690200806, 0.6517874598503113, 0.2832891643047333)","(0.4809078276157379, 0.703436553478241, 0.03964332118630409)","(0.5079777240753174, 0.7062345147132874, -0.03968669846653938)","(0.47773540019989014, 0.7884047031402588, 0.05313434824347496)","(0.5278003215789795, 0.7861905694007874, -0.004308897536247969)"
249.0,"(0.5065333843231201, 0.5223451256752014, 0.16369353234767914)","(0.5043048858642578, 0.513545036315918, 0.15109588205814362)","(0.5087069272994995, 0.5150660276412964, 0.14479953050613403)","(0.5185531973838806, 0.5753642320632935, 0.0033784557599574327)","(0.47190114855766296, 0.5665081739425659, 0.0940132588148117)","(0.457703173160553, 0.6341994404792786, 0.17051786184310913)","(0.5217640399932861, 0.6530884504318237, 0.048193272203207016)","(0.5377441644668579, 0.663741409778595, 0.1335643082857132)","(0.47452303767204285, 0.6560340523719788, 0.27725735306739807)","(0.4793257713317871, 0.7025671601295471, 0.039751891046762466)","(0.5059115886688232, 0.7052396535873413, -0.03981918841600418)","(0.4783429801464081, 0.7891140580177307, 0.04648222401738167)","(0.5243074893951416, 0.7970530986785889, -0.024509243667125702)"
250.0,"(0.5037257075309753, 0.5208232998847961, 0.13230128586292267)","(0.5016589760780334, 0.5118814706802368, 0.11993136256933212)","(0.5059941411018372, 0.5132856965065002, 0.11345036327838898)","(0.5170478820800781, 0.5750564932823181, -0.01986171118915081)","(0.4700814485549927, 0.5658493638038635, 0.0759177953004837)","(0.45728930830955505, 0.6327146291732788, 0.1314537525177002)","(0.5194453597068787, 0.6521840691566467, 0.026138504967093468)","(0.5362111926078796, 0.6640586256980896, 0.11810898780822754)","(0.46929964423179626, 0.6636298298835754, 0.2004944533109665)","(0.47650521993637085, 0.7042481303215027, 0.0443120002746582)","(0.5032200217247009, 0.7078478336334229, -0.044385772198438644)","(0.47945839166641235, 0.7906793355941772, 0.06276759505271912)","(0.517285943031311, 0.8052949905395508, -0.04744197800755501)"
251.0,"(0.5019991397857666, 0.5199740529060364, 0.1280084103345871)","(0.49992066621780396, 0.511165201663971, 0.11514024436473846)","(0.504252552986145, 0.5124900341033936, 0.10886246711015701)","(0.5154052972793579, 0.5763996243476868, -0.018037665635347366)","(0.4683646857738495, 0.565601646900177, 0.06585142016410828)","(0.4497539699077606, 0.6341164112091064, 0.12031149119138718)","(0.5180919170379639, 0.650819718837738, 0.02633468061685562)","(0.5351313352584839, 0.6647439002990723, 0.1284540742635727)","(0.46479523181915283, 0.666073739528656, 0.1916826218366623)","(0.47610053420066833, 0.7074282765388489, 0.04071088507771492)","(0.5030564665794373, 0.7106879949569702, -0.040785208344459534)","(0.4786999523639679, 0.7964689135551453, 0.059071604162454605)","(0.5097591280937195, 0.8120349645614624, -0.03556973859667778)"
252.0,"(0.49719518423080444, 0.521511435508728, 0.12088996917009354)","(0.4949496388435364, 0.5126789808273315, 0.10985539853572845)","(0.4994724690914154, 0.5138764381408691, 0.10146544873714447)","(0.51176518201828, 0.5776772499084473, -0.03728104382753372)","(0.46003738045692444, 0.5667304396629333, 0.07343773543834686)","(0.4387446343898773, 0.6335508227348328, 0.11944554001092911)","(0.5171312093734741, 0.6513966917991638, -0.0012651643482968211)","(0.5336619019508362, 0.6686562895774841, 0.09763558954000473)","(0.4585054814815521, 0.6647008657455444, 0.17245501279830933)","(0.4679723083972931, 0.7104429006576538, 0.04943554103374481)","(0.49327048659324646, 0.7131372094154358, -0.049466323107481)","(0.47568225860595703, 0.8049216270446777, 0.057143084704875946)","(0.4971354305744171, 0.8175989985466003, -0.06575696915388107)"
253.0,"(0.48066791892051697, 0.5260507464408875, 0.14480902254581451)","(0.47821852564811707, 0.5175150036811829, 0.13375724852085114)","(0.4828246533870697, 0.5185296535491943, 0.1256738156080246)","(0.49793532490730286, 0.5804812908172607, -0.017536280676722527)","(0.4450960159301758, 0.5717915296554565, 0.0921417623758316)","(0.4279663860797882, 0.6359950304031372, 0.15861676633358002)","(0.5061017274856567, 0.6543463468551636, 0.010449375957250595)","(0.5191471576690674, 0.6715990900993347, 0.10301540791988373)","(0.4425477683544159, 0.658905565738678, 0.2551291286945343)","(0.4526883065700531, 0.7145678997039795, 0.04477522149682045)","(0.480977326631546, 0.7173545360565186, -0.04481475055217743)","(0.46637392044067383, 0.8098642826080322, 0.05124587193131447)","(0.48267000913619995, 0.822699248790741, -0.05493566766381264)"
254.0,"(0.4603189527988434, 0.5333752632141113, 0.12428606301546097)","(0.4575458765029907, 0.5246468782424927, 0.11025232821702957)","(0.4624694287776947, 0.5257015824317932, 0.10490432381629944)","(0.477546364068985, 0.5872676968574524, -0.019754791632294655)","(0.42184725403785706, 0.5784611701965332, 0.053369734436273575)","(0.40209129452705383, 0.6432649493217468, 0.11554990708827972)","(0.48131969571113586, 0.6590232849121094, 0.014308115467429161)","(0.4961482584476471, 0.6765801906585693, 0.10087665170431137)","(0.4143264889717102, 0.6542066335678101, 0.19848600029945374)","(0.43026140332221985, 0.7248398661613464, 0.031864915043115616)","(0.46100860834121704, 0.7258139848709106, -0.03182922676205635)","(0.44112029671669006, 0.8198873996734619, 0.03151370957493782)","(0.46074897050857544, 0.8291504979133606, -0.0340183787047863)"
255.0,"(0.431512713432312, 0.5396814346313477, 0.12277843058109283)","(0.42932015657424927, 0.5316675901412964, 0.10927673429250717)","(0.4340381622314453, 0.5328719615936279, 0.10289989411830902)","(0.4459609389305115, 0.5920136570930481, -0.027615202590823174)","(0.39554935693740845, 0.585925817489624, 0.05921076983213425)","(0.37867578864097595, 0.646271288394928, 0.11471046507358551)","(0.45047327876091003, 0.661686360836029, 0.008480842225253582)","(0.46647465229034424, 0.6815186738967896, 0.0994989424943924)","(0.3881644606590271, 0.6711179614067078, 0.18477317690849304)","(0.40510207414627075, 0.7319769263267517, 0.03215472027659416)","(0.4332365095615387, 0.7307844161987305, -0.0321132130920887)","(0.4148915112018585, 0.8250203132629395, 0.033593133091926575)","(0.43562644720077515, 0.8392824530601501, -0.03103574365377426)"
256.0,"(0.4071631133556366, 0.5465924143791199, 0.11163901537656784)","(0.404422789812088, 0.5380533933639526, 0.09930042922496796)","(0.4090026617050171, 0.538665235042572, 0.09201309829950333)","(0.4219684898853302, 0.5984741449356079, -0.03783011808991432)","(0.3702848255634308, 0.5958564877510071, 0.054795220494270325)","(0.353223592042923, 0.654278576374054, 0.09448416531085968)","(0.42314422130584717, 0.6674239039421082, -0.045564256608486176)","(0.4423942565917969, 0.6873046159744263, -0.0193675197660923)","(0.3601861000061035, 0.6851562261581421, 0.14322347939014435)","(0.3818413317203522, 0.7403439283370972, 0.03685498982667923)","(0.4116043150424957, 0.7387326955795288, -0.03686238080263138)","(0.3920808434486389, 0.8311227560043335, 0.034921836107969284)","(0.4155295193195343, 0.8442999720573425, -0.03891929239034653)"
257.0,"(0.37649834156036377, 0.5584860444068909, 0.1170828565955162)","(0.3734835684299469, 0.5501596927642822, 0.10625050961971283)","(0.3779080808162689, 0.5505044460296631, 0.09723518788814545)","(0.3873744308948517, 0.6088570356369019, -0.04229806363582611)","(0.34113556146621704, 0.6100021600723267, 0.05951376259326935)","(0.3200170695781708, 0.6669629812240601, 0.09985096752643585)","(0.3887156546115875, 0.6803622245788574, -0.053994111716747284)","(0.41271477937698364, 0.6971115469932556, -0.022793414071202278)","(0.33279716968536377, 0.7065460681915283, 0.12557664513587952)","(0.3557472229003906, 0.7543922662734985, 0.04660414531826973)","(0.3817077875137329, 0.7509520649909973, -0.046629223972558975)","(0.3580995798110962, 0.8523956537246704, 0.04137014225125313)","(0.39101535081863403, 0.8597526550292969, -0.04445731267333031)"
258.0,"(0.36874091625213623, 0.5645293593406677, 0.13064390420913696)","(0.36680299043655396, 0.5560744404792786, 0.12480853497982025)","(0.37103262543678284, 0.5562226176261902, 0.11227419227361679)","(0.3773937523365021, 0.6131423711776733, -0.030428992584347725)","(0.3337835669517517, 0.6134440302848816, 0.09207289665937424)","(0.3121137022972107, 0.6679141521453857, 0.11219578236341476)","(0.3783496022224426, 0.6810442209243774, -0.03958338871598244)","(0.40017539262771606, 0.7016946077346802, -0.01435393188148737)","(0.32369861006736755, 0.7129207253456116, 0.15784196555614471)","(0.3485940098762512, 0.7585095167160034, 0.051759231835603714)","(0.3742222785949707, 0.7576738595962524, -0.05189164727926254)","(0.34681665897369385, 0.8590047955513, 0.04941614344716072)","(0.38801589608192444, 0.8641417026519775, -0.04039067402482033)"
259.0,"(0.3633257746696472, 0.5673593878746033, 0.15471333265304565)","(0.36140984296798706, 0.5589497089385986, 0.14880484342575073)","(0.36533719301223755, 0.5591344833374023, 0.13727636635303497)","(0.37038272619247437, 0.6138275861740112, -0.008070983923971653)","(0.32659712433815, 0.6144564151763916, 0.11578782647848129)","(0.3040630519390106, 0.6718815565109253, 0.13634586334228516)","(0.3706134557723999, 0.6847124695777893, -0.022714145481586456)","(0.39094099402427673, 0.7061055898666382, 0.012617245316505432)","(0.3192734718322754, 0.7181761860847473, 0.16476085782051086)","(0.339686781167984, 0.757770836353302, 0.05194805935025215)","(0.36557334661483765, 0.7580800652503967, -0.05206552520394325)","(0.33688822388648987, 0.8601559400558472, 0.03773324191570282)","(0.3847636282444, 0.8626672625541687, -0.04851052537560463)"
260.0,"(0.3617178499698639, 0.5683277249336243, 0.16668564081192017)","(0.3589986264705658, 0.5596174001693726, 0.159101203083992)","(0.3631669580936432, 0.5601401925086975, 0.14966543018817902)","(0.3703159987926483, 0.615697979927063, -0.0005187158822081983)","(0.32615411281585693, 0.6126148104667664, 0.11985904723405838)","(0.30474957823753357, 0.6717362403869629, 0.1354922205209732)","(0.367425799369812, 0.6849138140678406, -0.017481248825788498)","(0.38734039664268494, 0.7146787047386169, 0.008681549690663815)","(0.32078540325164795, 0.7183533906936646, 0.14854322373867035)","(0.3366497755050659, 0.7548314929008484, 0.053360465914011)","(0.36162078380584717, 0.7567956447601318, -0.05342626944184303)","(0.3344494700431824, 0.8617888689041138, 0.02558358572423458)","(0.3832191228866577, 0.8604633808135986, -0.06249033659696579)"
261.0,"(0.3636242151260376, 0.5731813311576843, 0.1613352745771408)","(0.36101198196411133, 0.5639761686325073, 0.15564826130867004)","(0.3646165430545807, 0.5647237300872803, 0.14458982646465302)","(0.3713637888431549, 0.6167590022087097, -0.004440943244844675)","(0.32644250988960266, 0.6145724654197693, 0.12951183319091797)","(0.30694150924682617, 0.6741796135902405, 0.13846442103385925)","(0.36621278524398804, 0.685850977897644, -0.03678116574883461)","(0.38539713621139526, 0.7260647416114807, -0.035021357238292694)","(0.3239387571811676, 0.7219659686088562, 0.1396946758031845)","(0.33691713213920593, 0.7570963501930237, 0.054618820548057556)","(0.35953786969184875, 0.7581299543380737, -0.05468673259019852)","(0.33606836199760437, 0.857869029045105, 0.039749398827552795)","(0.38394811749458313, 0.8628142476081848, -0.07274316251277924)"
262.0,"(0.3691284954547882, 0.5805277228355408, 0.1454266607761383)","(0.3665257394313812, 0.571687638759613, 0.1423678696155548)","(0.3699398338794708, 0.5722284913063049, 0.12785005569458008)","(0.37545496225357056, 0.6227040886878967, -0.02599450573325157)","(0.33023378252983093, 0.6222507953643799, 0.11641078442335129)","(0.3139899969100952, 0.6830530762672424, 0.15871721506118774)","(0.3683801293373108, 0.6937545537948608, -0.0707649514079094)","(0.38553792238235474, 0.7419251203536987, -0.08624254912137985)","(0.3347812294960022, 0.7138405442237854, 0.20410270988941193)","(0.3392336070537567, 0.7626168131828308, 0.05570098012685776)","(0.36167630553245544, 0.7616867423057556, -0.055756550282239914)","(0.33729150891304016, 0.8615061044692993, 0.05063783377408981)","(0.3883753716945648, 0.8663890361785889, -0.0727112665772438)"
263.0,"(0.3778553903102875, 0.5892105102539062, 0.16025157272815704)","(0.3754769563674927, 0.5801551342010498, 0.15682227909564972)","(0.37928977608680725, 0.5805381536483765, 0.1439162790775299)","(0.3834616541862488, 0.6311594843864441, -0.00823368038982153)","(0.338650643825531, 0.6322560906410217, 0.13915257155895233)","(0.32564777135849, 0.6930806040763855, 0.1868121176958084)","(0.3752605617046356, 0.7008610963821411, -0.07000638544559479)","(0.3918798565864563, 0.7558860182762146, -0.10980037599802017)","(0.34221065044403076, 0.7076665759086609, 0.2321508526802063)","(0.3439667820930481, 0.767671525478363, 0.05426845699548721)","(0.3679165840148926, 0.7688865065574646, -0.05439360439777374)","(0.3400208353996277, 0.8648282289505005, 0.033312730491161346)","(0.39690133929252625, 0.8632578253746033, -0.06628373265266418)"
264.0,"(0.3803218901157379, 0.5955090522766113, 0.156679168343544)","(0.3770054876804352, 0.5867815613746643, 0.15083198249340057)","(0.3833795487880707, 0.5874881744384766, 0.13928362727165222)","(0.39160698652267456, 0.6389063000679016, -0.009132055565714836)","(0.34423691034317017, 0.6341292262077332, 0.13537749648094177)","(0.33873602747917175, 0.6949716210365295, 0.17802812159061432)","(0.38613399863243103, 0.7111192345619202, -0.07249437272548676)","(0.40324923396110535, 0.7727481722831726, -0.11097908020019531)","(0.3534775376319885, 0.7114557027816772, 0.20730186998844147)","(0.3521011173725128, 0.7676791548728943, 0.05165330320596695)","(0.3774344325065613, 0.7725686430931091, -0.05169055610895157)","(0.34750550985336304, 0.8651125431060791, 0.02252979762852192)","(0.3989531099796295, 0.8648873567581177, -0.059985753148794174)"
265.0,"(0.3979901969432831, 0.6035684943199158, 0.10252764075994492)","(0.39615562558174133, 0.5951915979385376, 0.09715189039707184)","(0.3990999162197113, 0.5959060192108154, 0.0841977596282959)","(0.39483100175857544, 0.6446900963783264, -0.05113743618130684)","(0.3633750081062317, 0.640842616558075, 0.09553195536136627)","(0.3556837737560272, 0.6999212503433228, 0.1493905633687973)","(0.3909080922603607, 0.7129417657852173, -0.08954698592424393)","(0.40807145833969116, 0.7804478406906128, -0.10695574432611465)","(0.36330127716064453, 0.7224434614181519, 0.18134450912475586)","(0.3561345636844635, 0.7828047871589661, 0.04909220710396767)","(0.3820030093193054, 0.7852573990821838, -0.0491422563791275)","(0.3534257709980011, 0.8626354932785034, 0.025830047205090523)","(0.4119321405887604, 0.8692659735679626, -0.028550276532769203)"
266.0,"(0.40908023715019226, 0.6049154996871948, 0.11748432368040085)","(0.40756163001060486, 0.5960446000099182, 0.11444391310214996)","(0.41022732853889465, 0.5968844890594482, 0.10115320235490799)","(0.404102623462677, 0.6463375687599182, -0.037844810634851456)","(0.37299489974975586, 0.6410866379737854, 0.11767572909593582)","(0.36264076828956604, 0.7041609883308411, 0.1600491851568222)","(0.3965255618095398, 0.7202028036117554, -0.07835575938224792)","(0.41311100125312805, 0.7876884341239929, -0.08720573782920837)","(0.3624444901943207, 0.7499537467956543, 0.1822032779455185)","(0.35692527890205383, 0.7873377799987793, 0.04970638453960419)","(0.3861451745033264, 0.7855313420295715, -0.04981808364391327)","(0.3556632697582245, 0.8624147772789001, 0.0279061421751976)","(0.41812893748283386, 0.8654566407203674, -0.026990272104740143)"
267.0,"(0.4177488386631012, 0.6058375835418701, 0.12465500086545944)","(0.41629117727279663, 0.5969918966293335, 0.11958726495504379)","(0.41948992013931274, 0.598254919052124, 0.10876578837633133)","(0.4146924614906311, 0.6525923013687134, -0.032927099615335464)","(0.3816000521183014, 0.6381232142448425, 0.11685577034950256)","(0.36884361505508423, 0.7021661400794983, 0.17071881890296936)","(0.40781742334365845, 0.7330036759376526, -0.04868018999695778)","(0.42287927865982056, 0.7988634705543518, -0.03492214158177376)","(0.37040963768959045, 0.7443057298660278, 0.23088179528713226)","(0.3579756021499634, 0.7842570543289185, 0.04768930748105049)","(0.38911864161491394, 0.7878215909004211, -0.04777124896645546)","(0.35642585158348083, 0.8680018782615662, 0.02511647343635559)","(0.42182520031929016, 0.8635815382003784, -0.033545393496751785)"
268.0,"(0.4254717528820038, 0.6067219972610474, 0.1279716193675995)","(0.4240383207798004, 0.5975334048271179, 0.12235786765813828)","(0.4277079403400421, 0.5999883413314819, 0.11180189251899719)","(0.42324426770210266, 0.656330406665802, -0.0304233618080616)","(0.3863559067249298, 0.6353873014450073, 0.11558175086975098)","(0.3735009729862213, 0.6976235508918762, 0.18248850107192993)","(0.4159208834171295, 0.7325453162193298, -0.0482378713786602)","(0.42937248945236206, 0.800642192363739, -0.03394051641225815)","(0.377936452627182, 0.7299906611442566, 0.252591073513031)","(0.3605416417121887, 0.7783644795417786, 0.04774484410881996)","(0.39081934094429016, 0.7885935306549072, -0.047823820263147354)","(0.3619624972343445, 0.865635871887207, 0.03559928759932518)","(0.4210489094257355, 0.8636792302131653, -0.025789055973291397)"
269.0,"(0.42884257435798645, 0.6035372018814087, 0.12252029031515121)","(0.427682489156723, 0.5941069722175598, 0.11130271852016449)","(0.4316534996032715, 0.5969246029853821, 0.10428450256586075)","(0.42873531579971313, 0.6543992757797241, -0.0371122807264328)","(0.3913726806640625, 0.6344055533409119, 0.08999570459127426)","(0.3734237551689148, 0.6897269487380981, 0.1843939572572708)","(0.42137572169303894, 0.7317860126495361, -0.0348099023103714)","(0.43349772691726685, 0.7982593774795532, 0.011249587871134281)","(0.38275831937789917, 0.6758644580841064, 0.2930408716201782)","(0.36272114515304565, 0.7646566033363342, 0.04798467084765434)","(0.3908317983150482, 0.7843732833862305, -0.0480150431394577)","(0.3816165030002594, 0.8625815510749817, 0.012953470461070538)","(0.415065199136734, 0.8570857644081116, -0.0384531170129776)"
270.0,"(0.43520256876945496, 0.6011255383491516, 0.12981003522872925)","(0.43441614508628845, 0.5914804339408875, 0.11182631552219391)","(0.4379563629627228, 0.5942535400390625, 0.10963644832372665)","(0.43227481842041016, 0.649303138256073, -0.03279097005724907)","(0.39490216970443726, 0.6262929439544678, 0.09690404683351517)","(0.3728448450565338, 0.6770110726356506, 0.19456075131893158)","(0.4264744520187378, 0.7287378907203674, -0.018825147300958633)","(0.4401490092277527, 0.7906259894371033, 0.03907114267349243)","(0.3868947923183441, 0.6704484224319458, 0.3103644549846649)","(0.36427971720695496, 0.7528149485588074, 0.04908611997961998)","(0.3911948800086975, 0.7748047709465027, -0.049055065959692)","(0.37952128052711487, 0.8504824638366699, 0.03452803194522858)","(0.4147835671901703, 0.8505347371101379, -0.039267394691705704)"
